Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession
GCA_032248835.1	ASM3224883v1	Ophiostoma piceae		CECT20416						31915525	Chromosome	2023-10-01	
GCA_029906385.1	ASM2990638v1	Neofusicoccum laricinum		HLJ-QQHE-4						42475318	Chromosome	2023-04-30	
GCA_939531405.1	gsMetZobe1.1	Metschnikowia zobellii								13602261	Chromosome	2022-05-03	
GCA_030062975.1	ASM3006297v1	Pichia kluyveri					APC 11.10 B			10870839	Chromosome	2023-05-22	
GCA_900106115.1	CBS 141442 assembly	[Candida] intermedia		CBS 141442					Annotation submitted by CHALMERS UNIVERSITY OF TECHNOLOGY	13140237	Chromosome	2016-11-25	
GCA_963556305.1	glPlaGlau9.1	Platismatia glauca								33190042	Chromosome	2023-10-11	
GCA_000235365.1	ASM23536v1	Eremothecium cymbalariae DBVPG#7215		DBVPG#7215					Annotation submitted by Carlsberg Laboratory	9669424	Chromosome	2011-11-14	
GCF_000235365.1	ASM23536v1	Eremothecium cymbalariae DBVPG#7215		DBVPG#7215					Annotation submitted by Carlsberg Laboratory	9669424	Chromosome	2011-11-14	
GCA_963422465.1	glLicPygm2.1	Lichina pygmaea								32421062	Chromosome	2023-09-11	
GCA_963580335.1	grLepFlav1.1	Leptographium flavum								23957028	Chromosome	2023-11-04	
GCA_017357885.1	ASM1735788v1	Monilinia vaccinii-corymbosi		RL-1					Annotation submitted by North Carolina State University	30008100	Chromosome	2021-03-16	
GCA_001936135.1	KJJ81	Saccharomycopsis fibuligera x Saccharomycopsis cf. fibuligera		KJJ81						38516460	Chromosome	2017-01-05	
GCA_963971245.1	glClaNorv1.1	Cladonia norvegica								32251759	Chromosome	2024-03-02	
GCA_020995425.1	ASM2099542v1	Cyberlindnera sargentensis		SHA 17.2						11312132	Chromosome	2021-11-29	
GCA_000219625.1	MYCGR v2.0	Zymoseptoria tritici IPO323		IPO323					Annotation submitted by DOE Joint Genome Institute	39686251	Chromosome	2011-07-06	ACPE01
GCF_000219625.1	MYCGR v2.0	Zymoseptoria tritici IPO323		IPO323					Annotation submitted by DOE Joint Genome Institute	39686251	Chromosome	2011-07-06	ACPE01
GCA_000187245.3	Hansenula_2	Ogataea parapolymorpha DL-1		DL-1					Annotation submitted by Centre	8874589	Chromosome	2013-12-20	AEOI02
GCF_000187245.1	Hansenula_2	Ogataea parapolymorpha DL-1		DL-1					Annotation submitted by Centre	8874589	Chromosome	2013-12-20	AEOI02
GCA_000149225.2	ASM14922v2	Lachancea kluyveri NRRL Y-12651		NRRL Y-12651						11509127	Chromosome	2011-05-12	AACE03
GCA_900074725.1	LADA0	Lachancea dasiensis		CBS 10888					Annotation submitted by INRA UMR 1319	10701617	Chromosome	2016-10-25	FJUP01
GCA_000236905.1	ASM23690v1	Tetrapisispora phaffii CBS 4417		type strain:CBS 4417					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	12115070	Chromosome	2011-11-17	
GCF_000236905.1	ASM23690v1	Tetrapisispora phaffii CBS 4417		type strain:CBS 4417					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	12115070	Chromosome	2011-11-17	
GCA_900074755.1	LANO0	Lachancea nothofagi CBS 11611		CBS 11611					Annotation submitted by INRA UMR 1319	11313798	Chromosome	2016-10-25	FJUQ01
GCA_900074715.1	LAME0	Lachancea meyersii CBS 8951		CBS 8951					Annotation submitted by INRA UMR 1319	11261819	Chromosome	2016-10-25	FJUM01
GCA_029876055.1	CBS129176_v1	Madurella fahalii		CBS 129176						39129897	Chromosome	2023-04-26	JAPYLN01
GCA_035222475.1	CBS411.78m_1.0	Podospora pseudopauciseta		CBS 411.78					Annotation submitted by Uppsala University	36064112	Chromosome	2024-01-12	JAFFHB01
GCF_035222475.1	CBS411.78m_1.0	Podospora pseudopauciseta		CBS 411.78					Annotation submitted by Uppsala University	36064112	Chromosome	2024-01-12	JAFFHB01
GCA_035222275.1	CBS112042p_1.0	Podospora bellae-mahoneyi		CBS 112042					Annotation submitted by Uppsala University	34330348	Chromosome	2024-01-12	JAFFGZ01
GCF_035222275.1	CBS112042p_1.0	Podospora bellae-mahoneyi		CBS 112042					Annotation submitted by Uppsala University	34330348	Chromosome	2024-01-12	JAFFGZ01
GCA_000002655.1	ASM265v1	Aspergillus fumigatus Af293		Af293					Annotation submitted by J. Craig Venter Institute	29384958	Chromosome	2005-06-10	AAHF01
GCF_000002655.1	ASM265v1	Aspergillus fumigatus Af293		Af293					Annotation submitted by J. Craig Venter Institute	29384958	Chromosome	2005-06-10	AAHF01
GCA_000182925.2	NC12	Neurospora crassa OR74A		OR74A					Annotation submitted by Broad Institute	41037538	Chromosome	2013-10-25	AABX03
GCF_000182925.2	NC12	Neurospora crassa OR74A		OR74A					Annotation submitted by Broad Institute	41037538	Chromosome	2013-10-25	AABX03
GCA_000002495.2	MG8	Pyricularia oryzae 70-15		70-15					Annotation submitted by International Rice Blast Genome Consortium	40979121	Chromosome	2011-10-14	AACU03
GCF_000002495.2	MG8	Pyricularia oryzae 70-15		70-15					Annotation submitted by International Rice Blast Genome Consortium	40979121	Chromosome	2011-10-14	AACU03
GCA_000240135.3	ASM24013v3	Fusarium graminearum PH-1		PH-1; NRRL 31084					Annotation submitted by International Gibberella zeae Genomics Consortium	36458046	Chromosome	2008-11-21	AACM02
GCF_000240135.3	ASM24013v3	Fusarium graminearum PH-1		PH-1; NRRL 31084					Annotation submitted by International Gibberella zeae Genomics Consortium	36458046	Chromosome	2008-11-21	AACM02
GCA_000184455.3	ASM18445v3	Aspergillus oryzae RIB40		RIB40					Annotation submitted by National Institute of Technology and Evaluation (NITE), Japan	37882812	Chromosome	2011-06-24	
GCF_000184455.2	ASM18445v3	Aspergillus oryzae RIB40		RIB40					Annotation submitted by National Institute of Technology and Evaluation (NITE), Japan	37882812	Chromosome	2011-06-24	
GCA_000149555.1	ASM14955v1	Fusarium verticillioides 7600		7600					Annotation submitted by Syngenta Biotechnology, Inc.	41791161	Chromosome	2008-11-21	AAIM02
GCF_000149555.1	ASM14955v1	Fusarium verticillioides 7600		7600					Annotation submitted by Syngenta Biotechnology, Inc.	41791161	Chromosome	2011-07-06	AAIM02
GCA_001723175.3	ASM172317v3	Penicillium oxalicum		HP7-1					Annotation submitted by Guangxi University	30795872	Chromosome	2022-04-25	JRVD02
GCF_001723175.1	ASM172317v3	Penicillium oxalicum		HP7-1					Annotation submitted by Guangxi University	30795872	Chromosome	2022-04-25	JRVD02
GCA_025999795.1	ASM2599979v1	Monascus purpureus		KUPM5					Annotation submitted by The United Graduate School of Agricultural Sciences Kagoshima University	24475985	Chromosome	2022-10-06	
GCA_004355905.1	PgNI	Pyricularia grisea		NI907					Annotation submitted by Academia Sinica	44557582	Chromosome	2019-03-19	RRCK01
GCF_004355905.1	PgNI	Pyricularia grisea		NI907					Annotation submitted by Academia Sinica	44557582	Chromosome	2019-03-19	RRCK01
GCA_024047395.1	ASM2404739v1	Fusarium circinatum		CMWF1803						46810763	Chromosome	2022-07-05	JAEHFH01
GCA_000303195.2	FP7	Fusarium pseudograminearum CS3096		CS3096					Annotation submitted by CSIRO	36863345	Chromosome	2015-04-15	AFNW01
GCF_000303195.2	FP7	Fusarium pseudograminearum CS3096		CS3096					Annotation submitted by CSIRO	36863345	Chromosome	2015-04-15	AFNW01
GCA_000209165.1	ASM20916v1	Scheffersomyces stipitis CBS 6054		CBS 6054					Annotation submitted by DOE Joint Genome Institute	15441179	Chromosome	2007-02-26	AAVQ01
GCF_000209165.1	ASM20916v1	Scheffersomyces stipitis CBS 6054		CBS 6054					Annotation submitted by DOE Joint Genome Institute	15441179	Chromosome	2007-02-26	AAVQ01
GCA_001298625.1	SEUB3.0	Saccharomyces eubayanus		FM1318					Annotation submitted by University of Wisconsin-Madison	11670174	Chromosome	2015-11-04	JMCK01
GCF_001298625.1	SEUB3.0	Saccharomyces eubayanus		FM1318					Annotation submitted by University of Wisconsin-Madison	11670174	Chromosome	2015-11-04	JMCK01
GCA_001672515.1	ASM167251v1	Colletotrichum higginsianum IMI 349063		IMI 349063					Annotation submitted by GATC Biotech AG	50716103	Chromosome	2016-06-21	LTAN01
GCF_001672515.1	ASM167251v1	Colletotrichum higginsianum IMI 349063		IMI 349063					Annotation submitted by GATC Biotech AG	50716103	Chromosome	2016-06-21	LTAN01
GCA_001653235.2	ASM165323v2	Pochonia chlamydosporia 170					170		Annotation submitted by The Institute of Vegetables and Flowers CAAS	44215803	Chromosome	2017-07-10	LSBJ02
GCF_001653235.2	ASM165323v2	Pochonia chlamydosporia 170					170		Annotation submitted by The Institute of Vegetables and Flowers CAAS	44215803	Chromosome	2017-07-10	LSBJ02
GCA_905067625.1	Bgtriticale_THUN12_genome_v1_2	Blumeria graminis f. sp. triticale					THUN-12		Annotation submitted by UNIVERSITY OF ZURICH	141403166	Chromosome	2021-06-18	CAJHIT01
GCA_002742065.1	CB0940_V2	Cercospora beticola		09-40					Annotation submitted by VIB	37057033	Chromosome	2017-11-03	LKMD01
GCF_002742065.1	CB0940_V2	Cercospora beticola		09-40					Annotation submitted by VIB	37057033	Chromosome	2017-11-03	LKMD01
GCA_019609905.1	ASM1960990v1	Fusarium poae		DAOMC 252244					Annotation submitted by Agriculture and Agri-Food Canada	43859651	Chromosome	2021-08-19	WOUF01
GCF_019609905.1	ASM1960990v1	Fusarium poae		DAOMC 252244					Annotation submitted by Agriculture and Agri-Food Canada	43859651	Chromosome	2021-08-19	WOUF01
GCA_024703715.1	EnE101_chr_assembly_v3	Erysiphe necator		EnFRAME01					Annotation submitted by University of California	80917019	Chromosome	2022-08-25	JABETL01
GCA_036429605.1	ASM3642960v1	Cladobotryum mycophilum		ATHUM6906					Annotation submitted by National and Kapodistrian University of Athens (NKUA)	40603195	Chromosome	2024-02-07	JAVFKD01
GCA_028455935.1	ASM2845593v1	Simplicillium aogashimaense		ZM-2020						30262571	Chromosome	2023-02-06	JAKHSJ01
GCA_019059555.1	ASM1905955v1	Alternaria longipes		CBS 540.94						39426105	Chromosome	2021-06-29	JAHLEY01
GCA_004936725.1	ASM493672v1	Alternaria brassicae		J3						33950197	Chromosome	2019-05-08	SMOM01
GCA_020623625.1	UHD_SCDLUD_16	Saccharomycodes ludwigii		NBRC 1722					Annotation submitted by University of Heidelberg	12500424	Chromosome	2021-10-26	JACTOA01
GCF_020623625.1	UHD_SCDLUD_16	Saccharomycodes ludwigii		NBRC 1722					Annotation submitted by University of Heidelberg	12500424	Chromosome	2021-10-26	JACTOA01
GCA_036034705.1	UAEU_Tpunctulata.0	Thielaviopsis punctulata		DSM 102798		United Arab Emirates				28223805	Chromosome	2024-01-26	JAYKOR01
GCA_029405325.1	ASM2940532v1	Claviceps purpurea		LM72						34178275	Chromosome	2023-03-31	JARFXZ01
GCA_028009165.1	ASM2800916v1	Akanthomyces muscarius		Ve6					Annotation submitted by University of Exeter	36207525	Chromosome	2023-01-26	JAJHUN01
GCF_028009165.1	ASM2800916v1	Akanthomyces muscarius		Ve6					Annotation submitted by University of Exeter	36207525	Chromosome	2023-01-26	JAJHUN01
GCA_001625195.1	ASM162519v1	Drechmeria coniospora		ARSEF 6962					Annotation submitted by Biotechnology Research Institute, Chinese Academy of Agricultural Sciences	32831003	Chromosome	2016-04-24	LAYC01
GCF_001625195.1	ASM162519v1	Drechmeria coniospora		ARSEF 6962					Annotation submitted by Biotechnology Research Institute, Chinese Academy of Agricultural Sciences	32831003	Chromosome	2016-04-24	LAYC01
GCA_016630955.3	ASM1663095v3	Didymella arachidicola		YY187						36211073	Chromosome	2023-10-20	WOCF03
GCA_037367355.1	ASM3736735v1	Neoscytalidium dimidiatum		ND8						43759583	Chromosome	2024-03-20	JAVSCG01
GCA_900074765.1	LAFE0	Lachancea fermentati		CBS 6772					Annotation submitted by INRA UMR 1319	10264457	Chromosome	2016-10-26	FJUO01
GCA_028505775.1	ASM2850577v1	Aspergillus minisclerotigenes		MRI390						38025472	Chromosome	2023-02-21	JAHXGP01
GCA_031310005.1	ASM3131000v1	Dactylellina haptotyla		YMF1.03409						39806839	Chromosome	2023-09-08	JAQJAX01
GCA_028502605.1	ASM2850260v1	Trichoderma breve		T069					Annotation submitted by Hainan University	38609973	Chromosome	2023-02-09	JAOPEN01
GCF_028502605.1	ASM2850260v1	Trichoderma breve		T069					Annotation submitted by Hainan University	38609973	Chromosome	2023-02-09	JAOPEN01
GCA_019915245.1	ASM1991524v1	Fusarium musae		F31					Annotation submitted by universita degli studi di milano	44015302	Chromosome	2021-09-09	JAHBCI01
GCF_019915245.1	ASM1991524v1	Fusarium musae		F31					Annotation submitted by universita degli studi di milano	44015302	Chromosome	2021-09-09	JAHBCI01
GCA_949709995.1	gpAraPeru1.1	Arachnomyces peruvianus								34558840	Chromosome	2023-03-28	CATIXB01
GCA_947623385.2	glClaSqua9.2	Cladonia squamosa								38047994	Chromosome	2023-05-13	CANQGY02
GCA_018127085.1	P2C.v1.0	Pneumocystis sp. 'macacae'					P2C		Annotation submitted by National Institutes Of Health	8274841	Chromosome	2021-04-23	JABMLO01
GCA_034753255.1	ASM3475325v1	Fusarium kyushuense		WFK101						36957249	Chromosome	2023-12-28	JAWRWB01
GCA_033220425.1	Lene_EWU_01	Lepraria neglecta					Allen 5258		Annotation submitted by Eastern Washington University	42023604	Chromosome	2023-11-03	JASNWA01
GCA_035222485.1	CBS124.78p_1.0	Podospora pseudoanserina		CBS 124.78					Annotation submitted by Uppsala University	34828952	Chromosome	2024-01-12	JAFFHC01
GCF_035222485.1	CBS124.78p_1.0	Podospora pseudoanserina		CBS 124.78					Annotation submitted by Uppsala University	34828952	Chromosome	2024-01-12	JAFFHC01
GCA_025433545.1	ASM2543354v1	Fusarium keratoplasticum					Fu6.1		Annotation submitted by Academia Sinica	49462855	Chromosome	2022-10-03	JANGXZ01
GCF_025433545.1	ASM2543354v1	Fusarium keratoplasticum					Fu6.1		Annotation submitted by Academia Sinica	49462855	Chromosome	2022-10-03	JANGXZ01
GCA_035222375.1	CBS415.72m_1.0	Podospora pseudocomata		CBS 415.72m					Annotation submitted by Uppsala University	34981282	Chromosome	2024-01-12	JAFFHA01
GCF_035222375.1	CBS415.72m_1.0	Podospora pseudocomata		CBS 415.72m					Annotation submitted by Uppsala University	34981282	Chromosome	2024-01-12	JAFFHA01
GCA_025433615.1	ASM2543361v1	Fusarium sp. LHS14.1					LHS14.1		Annotation submitted by Academia Sinica	56318919	Chromosome	2022-10-03	JANGYB01
GCA_025433565.1	ASM2543356v1	Fusarium sp. Ph1					Ph1		Annotation submitted by Academia Sinica	51460811	Chromosome	2022-10-03	JANGYC01
GCA_026725115.1	Cjan_RL44_1.0	Cercospora janseana		RL44						39019791	Chromosome	2022-12-09	JAPEBY01
GCA_033816765.1	ASM3381676v1	Nothopassalora personata		LLS_Mitchell_2	Georgia-06G	Georgia				54641376	Chromosome	2023-11-20	JAVSIV01
GCA_030378345.1	ASM3037834v1	Podosphaera fusca					ZM-2022-MT899186			156824485	Chromosome	2023-07-07	JASSUZ01
GCA_004337975.1	PspLS	Pyricularia sp. CBS 133598		NI919					Annotation submitted by Academia Sinica	41493134	Chromosome	2019-03-19	RRCJ01
GCA_009192285.1	ASM919228v1	Morchella crassipes		M10						56756124	Chromosome	2019-10-21	WBVU01
GCA_900074745.1	LAMI0	Lachancea mirantina		CBS 11717					Annotation submitted by INRA UMR 1319	10117267	Chromosome	2016-10-25	FJUN01
GCA_020631695.1	ASM2063169v1	Trichoderma cornu-damae		KA19-0412C					Annotation submitted by Korea National Arboretum	38604505	Chromosome	2021-10-27	JAIWOZ01
GCA_900074735.1	LAFA0	Lachancea sp. 'fantastica'		CBS 6924					Annotation submitted by INRA UMR 1319	11336659	Chromosome	2016-10-25	FJUL01
GCA_004337985.1	PpBr36	Pyricularia pennisetigena		Br36					Annotation submitted by Academia Sinica	49117040	Chromosome	2019-03-19	RRCL01
GCF_004337985.1	PpBr36	Pyricularia pennisetigena		Br36					Annotation submitted by Academia Sinica	49117040	Chromosome	2019-03-19	RRCL01
GCF_000002855.4	ASM285v2	Aspergillus niger							Annotation submitted by DSM, The Netherlands	33975768	Scaffold	2007-04-11	
GCA_000150675.2	ASM15067v2	Verticillium dahliae VdLs.17		VdLs.17					Annotation submitted by Broad Institute	33828453	Scaffold	2011-09-15	ABJE01
GCF_000150675.1	ASM15067v2	Verticillium dahliae VdLs.17		VdLs.17					Annotation submitted by Broad Institute	33828453	Scaffold	2011-09-15	ABJE01
GCA_028505765.1	ASM2850576v1	Aspergillus parasiticus					MRI410			38682576	Scaffold	2023-02-21	JAMRJN01
GCA_000151355.1	v2.0	Fusarium vanettenii 77-13-4					77-13-4		Annotation submitted by DOE Joint Genome Institute	51286497	Scaffold	2009-08-27	ACJF01
GCF_000151355.1	v2.0	Fusarium vanettenii 77-13-4					77-13-4		Annotation submitted by DOE Joint Genome Institute	51286497	Scaffold	2009-08-27	ACJF01
GCA_000167675.2	v2.0	Trichoderma reesei QM6a		QM6a					Annotation submitted by DOE Joint Genome Institute	33395713	Scaffold	2011-07-18	AAIL02
GCF_000167675.1	v2.0	Trichoderma reesei QM6a		QM6a					Annotation submitted by DOE Joint Genome Institute	33395713	Scaffold	2011-07-18	AAIL02
GCA_003025095.1	Triha v1.0	Trichoderma harzianum CBS 226.95		CBS 226.95					Annotation submitted by DOE Joint Genome Institute	40980648	Scaffold	2018-03-30	MBGI01
GCF_003025095.1	Triha v1.0	Trichoderma harzianum CBS 226.95		CBS 226.95					Annotation submitted by DOE Joint Genome Institute	40980648	Scaffold	2018-03-30	MBGI01
GCA_003025105.1	Trias v. 1.0	Trichoderma asperellum CBS 433.97		CBS 433.97					Annotation submitted by DOE Joint Genome Institute	37464610	Scaffold	2018-03-30	MBGH01
GCF_003025105.1	Trias v. 1.0	Trichoderma asperellum CBS 433.97		CBS 433.97					Annotation submitted by DOE Joint Genome Institute	37464610	Scaffold	2018-03-30	MBGH01
GCA_000149425.1	ASM14942v1	Meyerozyma guilliermondii ATCC 6260		ATCC 6260					Annotation submitted by Broad Institute	10609954	Scaffold	2007-05-08	AAFM01
GCF_000149425.1	ASM14942v1	Meyerozyma guilliermondii ATCC 6260		ATCC 6260					Annotation submitted by Broad Institute	10609954	Scaffold	2007-05-08	AAFM01
GCA_000149035.1	C_graminicola_M1_001_V1	Colletotrichum graminicola M1.001		M1.001					Annotation submitted by Broad Institute	51604658	Scaffold	2010-10-12	ACOD01
GCF_000149035.1	C_graminicola_M1_001_V1	Colletotrichum graminicola M1.001		M1.001					Annotation submitted by Broad Institute	51604658	Scaffold	2010-10-12	ACOD01
GCA_001890705.1	Aspsy1	Aspergillus sydowii CBS 593.65		CBS 593.65					Annotation submitted by DOE Joint Genome Institute	34381026	Scaffold	2016-12-08	MRCH01
GCF_001890705.1	Aspsy1	Aspergillus sydowii CBS 593.65		CBS 593.65					Annotation submitted by DOE Joint Genome Institute	34381026	Scaffold	2016-12-08	MRCH01
GCA_001661405.1	Cybja1	Cyberlindnera jadinii NRRL Y-1542		NRRL Y-1542					Annotation submitted by DOE Joint Genome Institute	13018415	Scaffold	2016-09-15	LTAD01
